Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"VWOB",81.2900,81.2100,"81.1678 - 81.4685",100,100,58417,164,"2:45pm - <b>81.2671</b>","Vanguard Emerging Markets Gover"
"VWR",28.18,28.17,"27.51 - 28.31",500,100,263102,100,"3:00pm - <b>28.17</b>","VWR Corporation"
"VXUS",46.790,46.770,"46.760 - 46.940",800,4300,328133,500,"3:01pm - <b>46.779</b>","Vanguard Total International St"
"VYGR",14.0000,13.9200,"13.7600 - 14.1150",700,100,18564,286,"2:59pm - <b>13.9703</b>","Voyager Therapeutics, Inc."
"VYMI",55.8700,55.7600,"55.7650 - 55.9899",600,100,9891,200,"2:22pm - <b>55.8872</b>","Vanguard International High Div"
"WABC",48.91,48.88,"48.82 - 50.09",100,200,29761,100,"3:01pm - <b>48.87</b>","Westamerica Bancorporation"
"WAFD",26.39,26.37,"26.34 - 26.69",100,100,75401,100,"2:57pm - <b>26.37</b>","Washington Federal, Inc."
"WAFDW",9.94,8.71,N/A,4500,200,0,N/A,"1:03pm - <b>9.17</b>","Washington Federal, Inc."
"WASH",40.91,40.85,"40.83 - 41.61",200,100,36173,100,"3:00pm - <b>40.90</b>","Washington Trust Bancorp, Inc."
"WATT",18.30,18.26,"18.15 - 18.82",200,100,327068,2516,"3:01pm - <b>18.34</b>","Energous Corporation"
"WAYN",13.70,13.45,"13.45 - 13.55",200,2000,55625,100,"12:59pm - <b>13.45</b>","Wayne Savings Bancshares Inc."
"WB",48.950,48.900,"47.640 - 49.215",200,100,749740,306,"3:01pm - <b>48.949</b>","Weibo Corporation"
"WBA",80.68,80.67,"80.56 - 81.90",1700,900,1534308,100,"3:02pm - <b>80.66</b>","Walgreens Boots Alliance, Inc."
"WBB",19.5400,19.2100,"19.2001 - 19.2001",100,100,237,200,"11:44am - <b>19.2001</b>","Westbury Bancorp, Inc."
"WBKC",27.1400,26.7500,"26.7000 - 26.9504",100,800,1766,421,"2:18pm - <b>26.9504</b>","Wolverine Bancorp, Inc."
"WBMD",50.51,50.49,"49.01 - 50.55",200,200,168713,100,"3:01pm - <b>50.50</b>","WebMD Health Corp"
"WCFB",8.30,8.26,"8.30 - 8.51",200,200,9251,100,"2:56pm - <b>8.30</b>","WEBSTER CITY FED BCP"
"WDC",56.790,56.780,"55.500 - 57.700",300,500,4332730,100,"3:01pm - <b>56.795</b>","Western Digital Corporation"
"WDFC",116.71,116.41,"115.67 - 116.99",200,700,31911,100,"2:49pm - <b>116.61</b>","WD-40 Company"
"WEB",17.65,17.63,"17.62 - 17.82",100,300,95159,100,"3:01pm - <b>17.63</b>","Web.com Group, Inc."
"WEBK",21.99,21.42,N/A,200,200,113,N/A,"3:11pm - <b>22.00</b>","Wellesley Bancorp, Inc."
"WEN",10.80,10.79,"10.74 - 10.89",4900,13000,1325268,205,"3:01pm - <b>10.79</b>","Wendy's Company (The)"
"WERN",22.750,22.740,"22.440 - 22.850",700,600,345983,300,"3:01pm - <b>22.745</b>","Werner Enterprises, Inc."
"WETF",9.71,9.70,"9.59 - 10.09",1800,1700,2257350,100,"3:01pm - <b>9.70</b>","WisdomTree Investments, Inc."
"WEYS",26.61,26.35,"26.45 - 26.71",200,200,6959,100,"3:00pm - <b>26.48</b>","Weyco Group, Inc."
"WFBI",24.58,24.28,"24.08 - 24.66",200,200,2114,100,"1:36pm - <b>24.42</b>","WashingtonFirst Bankshares Inc"
"WFD",7.62,7.59,"7.58 - 7.72",700,100,21917,100,"2:57pm - <b>7.58</b>","Westfield Financial, Inc."
"WFM",28.68,28.67,"28.38 - 28.73",1500,1300,2364096,200,"3:01pm - <b>28.67</b>","Whole Foods Market, Inc."
"WGBS",0.8650,0.8611,"0.8551 - 0.8900",2100,100,65802,1000,"2:43pm - <b>0.8655</b>","WaferGen Bio-systems, Inc."
"WHF",11.1000,11.0200,"11.0100 - 11.1600",100,100,14869,400,"1:34pm - <b>11.0754</b>","WhiteHorse Finance, Inc."
"WHFBL",25.6800,25.2300,"25.2300 - 25.5030",1000,200,1550,200,"1:37pm - <b>25.5008</b>","WhiteHorse Finance, Inc."
