Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"KBAL",12.97,12.96,"12.60 - 13.03",300,1000,70817,100,"3:05pm - <b>12.96</b>","Kimball International, Inc."
"KBSF",0.40,0.38,"0.38 - 0.43",100,100,14300,300,"1:16pm - <b>0.38</b>","KBS Fashion Group Limited"
"KCAP",4.68,4.67,"4.67 - 4.73",100,6400,54042,100,"3:06pm - <b>4.67</b>","KCAP Financial, Inc."
"KE",13.310,13.300,"13.000 - 13.380",500,400,40616,100,"3:08pm - <b>13.305</b>","Kimball Electronics, Inc."
"KELYA",19.02,18.98,"18.76 - 19.16",100,100,19088,100,"3:07pm - <b>18.99</b>","Kelly Services, Inc."
"KELYB",21.16,18.20,N/A,400,100,0,N/A,"9:30am - <b>18.01</b>","Kelly Services, Inc."
"KEQU",24.36,23.90,"23.90 - 24.36",100,300,4163,100,"2:36pm - <b>24.02</b>","Kewaunee Scientific Corporation"
"KERX",5.09,5.08,"5.06 - 5.22",2800,1200,819811,100,"3:10pm - <b>5.08</b>","Keryx Biopharmaceuticals, Inc."
"KEYW",10.90,10.87,"10.72 - 10.97",100,100,106165,100,"3:09pm - <b>10.90</b>","The KEYW Holding Corporation"
"KFFB",8.59,8.33,N/A,100,500,0,N/A,"9:30am - <b>8.33</b>","Kentucky First Federal Bancorp"
"KFRC",19.64,19.61,"19.52 - 20.08",100,300,47473,200,"3:07pm - <b>19.62</b>","Kforce, Inc."
"KGJI",2.27,2.26,"2.26 - 2.31",49500,37400,41799,100,"3:08pm - <b>2.27</b>","Kingold Jewelry Inc."
"KHC",88.59,88.57,"88.06 - 88.98",700,300,860073,100,"3:10pm - <b>88.58</b>","The Kraft Heinz Company"
"KIN",5.03,4.94,"4.93 - 5.21",100,200,7992,100,"2:55pm - <b>4.98</b>","Kindred Biosciences, Inc."
"KINS",9.17,9.15,"9.10 - 9.23",100,500,8688,1000,"3:06pm - <b>9.17</b>","Kingstone Companies, Inc"
"KIRK",12.49,12.46,"12.29 - 12.58",400,100,45072,100,"3:09pm - <b>12.49</b>","Kirkland's, Inc."
"KITE",54.7600,54.7200,"53.5000 - 54.9000",100,100,450844,183,"3:10pm - <b>54.7699</b>","Kite Pharma, Inc."
"KLAC",68.91,68.90,"68.76 - 69.86",200,200,607483,200,"3:10pm - <b>68.91</b>","KLA-Tencor Corporation"
"KLIC",12.61,12.60,"12.55 - 12.76",300,100,69094,100,"3:10pm - <b>12.60</b>","Kulicke and Soffa Industries, I"
"KLRE",10.10,10.08,N/A,400,100,0,N/A,"3:06pm - <b>10.09</b>","KLR Energy Acquisition Corp."
"KLREU",10.4400,10.3900,N/A,200,200,0,N/A,"3:45pm - <b>10.4499</b>","KLR Energy Acquisition Corp."
"KLREW",0.32,0.31,"0.31 - 0.31",1000,4000,9300,500,"2:54pm - <b>0.31</b>","KLR Energy Acquisition Corp."
"KLXI",33.90,33.86,"33.65 - 34.83",100,200,225800,100,"3:10pm - <b>33.89</b>","KLX Inc."
"KMDA",5.240,5.200,"4.988 - 5.240",100,100,83635,300,"2:37pm - <b>5.218</b>","Kamada Ltd."
"KMPH",4.56,4.45,"4.36 - 4.66",100,200,30096,100,"2:58pm - <b>4.45</b>","KemPharm, Inc."
"KNDI",5.53,5.52,"5.52 - 5.64",200,2300,85643,100,"3:09pm - <b>5.53</b>","Kandi Technologies Group, Inc."
"KNSL",21.5900,21.4400,"20.4325 - 21.7500",100,200,130360,500,"3:10pm - <b>21.5885</b>","Kinsale Capital Group, Inc."
"KONA",13.81,13.77,"13.57 - 13.93",100,200,49526,100,"3:05pm - <b>13.82</b>","Kona Grill, Inc."
