Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"RFEM",56.7100,56.5700,"56.5494 - 56.7000",4000,500,883,130,"2:52pm - <b>56.5494</b>","First Trust RiverFront Dynamic "
"RFEU",51.69,51.62,"51.47 - 51.47",500,100,135,100,"9:45am - <b>51.47</b>","First Trust RiverFront Dynamic "
"RFIL",1.80,1.78,"1.71 - 1.80",1800,300,12478,100,"3:22pm - <b>1.79</b>","RF Industries, Ltd."
"RGCO",24.00,23.52,"24.49 - 24.49",900,100,199,100,"12:36pm - <b>24.49</b>","RGC Resources Inc."
"RGEN",30.96,30.95,"30.76 - 31.99",100,100,195864,100,"3:28pm - <b>30.96</b>","Repligen Corporation"
"RGLD",80.26,80.22,"80.05 - 82.82",200,300,317089,100,"3:28pm - <b>80.25</b>","Royal Gold, Inc."
"RGLS",3.390,3.380,"3.350 - 3.420",1500,400,173788,100,"3:26pm - <b>3.385</b>","Regulus Therapeutics Inc."
"RGNX",14.640,14.630,"14.290 - 14.770",100,100,142057,600,"3:28pm - <b>14.645</b>","REGENXBIO Inc."
"RGSE",2.68,2.64,"2.03 - 2.70",500,3000,3687615,100,"3:29pm - <b>2.66</b>","Real Goods Solar, Inc."
"RIBT",1.51,1.38,"1.28 - 1.44",7200,100,8111,200,"3:16pm - <b>1.35</b>","RiceBran Technologies"
"RIBTW",0.35,0.25,N/A,20000,100,0,N/A,"11:32am - <b>0.32</b>","RiceBran Technologies"
"RICK",11.50,11.49,"11.44 - 11.55",100,100,33697,100,"3:27pm - <b>11.50</b>","RCI Hospitality Holdings, Inc."
"RIGL",3.420,3.410,"3.350 - 3.460",1900,2700,525372,100,"3:28pm - <b>3.415</b>","Rigel Pharmaceuticals, Inc."
"RILY",13.010,12.920,"12.910 - 13.200",100,100,24045,100,"3:25pm - <b>12.995</b>","B. RILEY FINANCIAL"
"RKDA",2.03,2.00,"2.00 - 2.08",100,5000,8849,100,"2:48pm - <b>2.00</b>","Arcadia Biosciences, Inc."
"RLJE",2.2200,2.1800,"2.1987 - 2.1987",300,100,1047,1000,"10:12am - <b>2.1987</b>","RLJ Entertainment, Inc."
"RLOG",0.81,0.77,"0.78 - 0.81",100,100,2982,900,"3:21pm - <b>0.80</b>","Rand Logistics, Inc."
"RMBS",12.43,12.42,"12.35 - 12.54",400,1300,367887,100,"3:28pm - <b>12.43</b>","Rambus, Inc."
"RMCF",10.3300,10.2800,"10.2400 - 10.3500",300,200,1510,200,"2:47pm - <b>10.2801</b>","Rocky Mountain Chocolate Factor"
"RMGN",0.87,0.81,"0.83 - 0.90",9200,100,10506,100,"1:20pm - <b>0.90</b>","RMG Networks Holding Corporatio"
"RMR",40.140,40.030,"39.770 - 40.667",300,100,40032,100,"3:25pm - <b>40.085</b>","The RMR Group Inc."
"RMTI",6.40,6.39,"6.39 - 6.74",2100,900,254636,100,"3:29pm - <b>6.40</b>","Rockwell Medical, Inc."
"RNDB",13.25,13.08,"13.03 - 13.25",700,200,10308,100,"2:55pm - <b>13.24</b>","Randolph Bancorp, Inc."
"RNET",13.47,13.44,"13.43 - 14.21",100,100,18079,100,"3:28pm - <b>13.46</b>","RigNet, Inc."
"RNST",32.96,32.93,"32.78 - 33.42",100,100,85974,100,"3:29pm - <b>32.96</b>","Renasant Corporation"
"RNVA",0.1899,0.1862,"0.1798 - 0.2298",4400,7000,1748209,500,"3:28pm - <b>0.1862</b>","Rennova Health, Inc."
