Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"AA-",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AAMC",16.08,15.57,"15.02 - 17.06",100,100,19278,100,"3:28pm - <b>15.56</b>","Altisource Asset Management Cor"
"AAU",1.4100,1.4000,"1.3800 - 1.4288",1100,700,144124,750,"3:31pm - <b>1.3821</b>","Almaden Minerals, Ltd. Common S"
"ABE",13.06,12.35,"12.36 - 12.79",200,800,381,200,"1:06pm - <b>12.79</b>","Aberdeen Emerging Markets Compa"
"ACU",21.90,21.73,"21.19 - 21.90",100,100,2636,100,"2:39pm - <b>21.90</b>","Acme United Corporation. Common"
"ACY",9.48,8.90,"8.90 - 9.39",300,700,9925,212,"3:02pm - <b>9.01</b>","AeroCentury Corp. Common Stock"
"ADGE",0.280,0.262,"0.262 - 0.280",1000,400,2404,100,"1:52pm - <b>0.265</b>","American DG Energy Inc. Common "
"ADK",2.15,2.06,"2.02 - 2.10",200,5000,7907,100,"3:27pm - <b>2.02</b>","Adcare Health Systems Inc Commo"
"ADK-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AE",36.68,35.00,"35.00 - 36.03",100,200,1334,100,"3:18pm - <b>35.10</b>","Adams Resources & Energy, Inc. "
"AFCO",7.59,7.58,"7.43 - 7.69",300,100,282533,600,"3:32pm - <b>7.67</b>","American Farmland Company Commo"
"AIII",1.30,1.29,"1.20 - 1.48",200,100,118814,720,"3:20pm - <b>1.27</b>","ACRE Realty Investors, Inc. Com"
"AINC",50.23,47.71,"47.85 - 49.37",200,200,1293,100,"1:05pm - <b>49.37</b>","Ashford Inc. Common Stock"
"AIRI",4.6200,4.5500,"4.5500 - 4.6130",100,1300,2782,275,"3:05pm - <b>4.6032</b>","Air Industries Group Common Sto"
"AKG",4.18,4.17,"4.15 - 4.38",1900,1000,205007,100,"3:32pm - <b>4.19</b>","Asanko Gold Inc."
"ALN",0.64,0.62,"0.60 - 0.64",200,500,196908,500,"3:00pm - <b>0.63</b>","American Lorain Corporation Com"
"AMPE",0.84,0.83,"0.82 - 0.91",400,25000,684035,600,"3:30pm - <b>0.83</b>","Ampio Pharmaceuticals, Inc."
"AMS",3.1000,3.0700,"3.0500 - 3.1480",2600,200,6716,200,"12:19pm - <b>3.0673</b>","American Shared Hospital Servic"
"APHB",1.48,1.45,"1.45 - 1.55",200,3500,76945,100,"3:32pm - <b>1.46</b>","AmpliPhi Biosciences Corporatio"
"APT",3.54,3.52,"3.38 - 3.60",200,300,171090,100,"3:29pm - <b>3.51</b>","Alpha Pro Tech, Ltd. Common Sto"
"ASB",19.27,19.26,"19.21 - 19.48",2500,600,440138,100,"3:32pm - <b>19.26</b>","Associated Banc-Corp Common Sto"
"ASM",2.10,2.09,"2.07 - 2.20",300,200,268923,100,"3:27pm - <b>2.09</b>","Avino Silver & Gold Mines Ltd. "
"AST",4.54,4.52,"4.47 - 4.70",400,200,242117,200,"3:31pm - <b>4.55</b>","Asterias Biotherapeutics, Inc. "
"AST",4.54,4.52,"4.47 - 4.70",400,200,242117,200,"3:31pm - <b>4.55</b>","Asterias Biotherapeutics, Inc. "
"ATNM",1.94,1.93,"1.75 - 1.95",500,600,1176768,100,"3:32pm - <b>1.93</b>","Actinium Pharmaceuticals, Inc. "
"AUMN",0.75,0.75,"0.74 - 0.79",1000,100,236927,100,"3:30pm - <b>0.74</b>","Golden Minerals Company Common "
"AWX",2.93,2.81,"2.80 - 2.95",1500,100,2710,100,"2:20pm - <b>2.80</b>","Avalon Holdings Corporation Com"
"AXN",0.5600,0.5487,"0.5420 - 0.5699",500,100,26958,100,"3:11pm - <b>0.5668</b>","Aoxing Pharmaceutical Company, "
"AXU",1.73,1.72,"1.64 - 1.81",2700,2300,701085,330,"3:31pm - <b>1.68</b>","Alexco Resource Corp Common Sha"
"BAA",0.3149,0.3140,"0.3129 - 0.3225",5300,224900,419082,110,"3:30pm - <b>0.3148</b>","BANRO CORPORATION Ordinary Shar"
"BCV",21.00,20.95,"20.84 - 21.12",100,700,27173,120,"3:14pm - <b>21.01</b>","Bancroft Fund, Ltd."
"BCV-A",N/A,N/A,N/A,N/A,N/A,0,N/A,"3:58pm - <b>25.30</b>",N/A
"BDL",23.70,23.10,"23.29 - 23.50",200,100,1114,199,"11:06am - <b>23.42</b>","Flanigan's Enterprises, Inc. Co"
"BDR",0.60,0.59,"0.59 - 0.66",200,3500,15445,1300,"12:54pm - <b>0.59</b>","Blonder Tongue Laboratories, In"
"BFY",17.25,17.12,"17.14 - 17.30",200,200,4815,100,"3:17pm - <b>17.14</b>","BlackRock New York Municipal In"
