Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"SNN",32.69,32.68,"32.59 - 32.75",500,300,240737,400,"2:58pm - <b>32.72</b>","Smith & Nephew SNATS, Inc. Comm"
"SNOW",16.72,16.70,"16.51 - 16.87",200,100,78584,100,"2:58pm - <b>16.71</b>","Intrawest Resorts Holdings, Inc"
"SNP",69.12,68.98,"68.96 - 69.61",100,100,38757,100,"2:51pm - <b>69.05</b>","China Petroleum & Chemical Corp"
"SNR",11.74,11.73,"11.70 - 11.90",900,500,161978,100,"2:57pm - <b>11.74</b>","New Senior Investment Group Inc"
"SNV",31.760,31.750,"31.690 - 32.240",700,800,575954,100,"2:59pm - <b>31.745</b>","Synovus Financial Corp. Common "
"SNV-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SNX",106.67,106.61,"105.82 - 107.28",200,200,153903,100,"2:57pm - <b>106.69</b>","Synnex Corporation Common Stock"
"SNY",37.98,37.97,"37.92 - 38.15",1400,200,1075826,200,"2:59pm - <b>38.05</b>","Sanofi American Depositary Shar"
"SO",53.39,53.38,"53.28 - 53.63",2400,1300,2654474,100,"2:59pm - <b>53.39</b>","Southern Company (The) Common S"
"SOJA",27.67,27.62,"27.50 - 27.86",800,200,38120,100,"2:52pm - <b>27.63</b>","Southern Company (The) Series 2"
"SOJB",25.1000,25.0900,"25.0600 - 25.1400",7800,3600,482130,150,"2:58pm - <b>25.0967</b>","Southern Company (The) Series 2"
"SOL",1.03,1.02,"1.01 - 1.03",3600,2200,139587,100,"2:58pm - <b>1.01</b>","Renesola Ltd. Common Shares of "
"SON",52.71,52.69,"52.66 - 52.93",300,700,148596,100,"2:59pm - <b>52.70</b>","Sonoco Products Company Common "
"SOR",36.330,36.220,"36.205 - 36.310",400,100,5182,300,"1:38pm - <b>36.205</b>","Source Capital, Inc. Common Sto"
"SOV-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPA",25.39,25.35,"25.23 - 26.13",200,200,70097,100,"2:54pm - <b>25.39</b>","Sparton Corporation Common Stoc"
"SPB",133.66,133.56,"132.57 - 134.18",300,100,161238,131,"2:58pm - <b>133.57</b>","Spectrum Brands Holdings, Inc. "
"SPE",14.8500,14.8000,"14.8000 - 14.8523",100,2600,7321,100,"2:21pm - <b>14.8201</b>","Special Opportunities Fund, Inc"
"SPE-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPG",214.38,214.28,"212.50 - 214.80",100,100,551895,100,"2:59pm - <b>214.49</b>","Simon Property Group, Inc. Comm"
"SPG-J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SPGI",124.84,124.82,"123.72 - 125.92",200,100,500001,100,"2:59pm - <b>124.78</b>","S&P Global Inc. Common Stock"
"SPH",33.80,33.73,"33.72 - 34.32",200,100,102433,100,"2:59pm - <b>33.93</b>","Suburban Propane Partners, L.P."
"SPLP",14.55,14.40,"14.36 - 14.48",100,100,1520,100,"2:29pm - <b>14.48</b>","Steel Partners Holdings LP LTD "
"SPN",14.860,14.850,"14.730 - 15.380",2900,600,2174104,100,"2:59pm - <b>14.855</b>","Superior Energy Services, Inc. "
"SPR",43.90,43.89,"43.62 - 44.12",400,400,325027,100,"2:58pm - <b>43.90</b>","Spirit Aerosystems Holdings, In"
"SPXC",19.46,19.44,"19.44 - 19.72",300,100,79726,100,"2:59pm - <b>19.45</b>","SPX Corporation Common Stock"
"SPXX",13.72,13.70,"13.59 - 13.74",1000,300,61350,100,"2:51pm - <b>13.62</b>","Nuveen S&P 500 Dynamic Overwrit"
