Symbol,Ask,Bid,Range,AskSize,BidSize,Volume,LastTradeSize,LastTradeWithTime,Name
"RDY",47.33,47.28,"47.12 - 48.02",300,500,98775,100,"3:28pm - <b>47.31</b>","Dr. Reddy's Laboratories Ltd Co"
"RE",192.24,192.06,"190.79 - 192.63",300,100,201060,100,"3:27pm - <b>192.18</b>","Everest Re Group, Ltd. Common S"
"REG",79.54,79.51,"78.72 - 79.81",200,400,433465,101,"3:27pm - <b>79.53</b>","Regency Centers Corporation Com"
"REG-F",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"REG-G",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"RELX",18.99,18.97,"18.96 - 19.02",1700,600,35303,100,"3:26pm - <b>18.97</b>","RELX PLC PLC American Depositar"
"REN",22.69,22.57,"22.15 - 23.29",1200,300,565104,100,"3:27pm - <b>22.65</b>","Resolute Energy Corporation Com"
"RENN",1.95,1.94,"1.87 - 1.96",2700,3500,648449,300,"3:26pm - <b>1.94</b>","Renren Inc. American Depositary"
"RENX",17.54,17.53,"17.53 - 17.64",300,400,71179,100,"3:27pm - <b>17.54</b>","RELX N.V. American Depositary S"
"RES",15.74,15.73,"15.61 - 16.05",1000,1100,814260,100,"3:27pm - <b>15.74</b>","RPC, Inc. Common Stock"
"RESI",10.70,10.69,"10.63 - 10.81",700,600,254410,300,"3:27pm - <b>10.70</b>","Altisource Residential Corporat"
"REV",36.94,36.77,"36.37 - 36.91",200,100,36607,100,"3:26pm - <b>36.86</b>","Revlon, Inc. New Common Stock"
"REX",83.44,83.24,"82.53 - 84.80",100,100,123712,100,"3:23pm - <b>83.40</b>","REX American Resources Corporat"
"REXR",23.22,23.21,"22.96 - 23.38",600,300,576238,100,"3:28pm - <b>23.21</b>","Rexford Industrial Realty, Inc."
"REXR-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"RF",9.57,9.56,"9.53 - 9.71",37900,49700,14336732,116,"3:28pm - <b>9.59</b>","Regions Financial Corporation C"
"RF-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"RF-B",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"RFI",13.32,13.30,"13.27 - 13.35",1100,1800,46334,100,"3:27pm - <b>13.31</b>","Cohen & Steers Total Return Rea"
"RFP",4.760,4.740,"4.720 - 4.910",300,400,58776,100,"3:27pm - <b>4.755</b>","Resolute Forest Products Inc. C"
"RFT",22.30,22.21,"22.29 - 22.30",7200,500,2140,400,"2:22pm - <b>22.30</b>","RAIT Financial Trust 7.625% Sen"
"RFTA",24.47,24.26,"24.30 - 24.45",100,100,6748,100,"3:21pm - <b>24.30</b>","RAIT Financial Trust 7.125% Sen"
"RGA",107.30,107.21,"106.70 - 107.90",100,100,118397,100,"3:28pm - <b>107.52</b>","Reinsurance Group of America, I"
"RGC",21.38,21.37,"21.28 - 21.54",500,1500,368408,100,"3:28pm - <b>21.39</b>","Regal Entertainment Group Class"
"RGR",56.32,56.31,"55.63 - 56.85",400,600,189620,100,"3:27pm - <b>56.34</b>","Sturm, Ruger & Company, Inc. Co"
"RGS",12.54,12.52,"12.44 - 12.61",300,400,49718,100,"3:27pm - <b>12.55</b>","Regis Corporation Common Stock"
"RGT",8.0800,8.0600,"8.0600 - 8.0900",600,2700,61488,173,"3:12pm - <b>8.0643</b>","Royce Global Value Trust, Inc. "
"RH",31.66,31.65,"31.56 - 32.75",200,100,1837764,100,"3:28pm - <b>31.56</b>","Restoration Hardware Holdings I"
"RHI",37.690,37.680,"37.290 - 37.720",200,800,380055,100,"3:28pm - <b>37.685</b>","Robert Half International Inc. "
"RHP",49.90,49.85,"49.81 - 51.09",200,300,118904,200,"3:27pm - <b>49.86</b>","Ryman Hospitality Properties, I"
"RHT",78.67,78.65,"78.65 - 80.00",200,100,1734748,100,"3:28pm - <b>78.76</b>","Red Hat, Inc. Common Stock"
"RICE",27.17,27.16,"26.83 - 27.39",500,2400,1278903,100,"3:28pm - <b>27.17</b>","Rice Energy Inc. Common Stock"
"RIG",9.550,9.540,"9.100 - 9.620",28600,17400,12001390,100,"3:28pm - <b>9.545</b>","Transocean Ltd (Switzerland) Co"
"RIGP",11.04,11.02,"10.65 - 11.17",200,4600,41529,100,"3:15pm - <b>11.09</b>","Transocean Partners LLC Common "
"RIO",32.23,32.22,"32.15 - 32.53",1400,1300,1664710,100,"3:28pm - <b>32.23</b>","Rio Tinto Plc Common Stock"
"RIV",19.95,19.93,"19.90 - 20.10",1000,200,19479,100,"3:07pm - <b>19.93</b>","RiverNorth Opportunities Fund, "
"RJD",25.90,25.89,"25.85 - 25.91",200,100,19898,100,"3:23pm - <b>25.87</b>","Raymond James Financial, Inc. 6"
"RJF",56.82,56.80,"56.59 - 57.54",400,300,288702,100,"3:28pm - <b>56.82</b>","Raymond James Financial, Inc. C"
"RL",96.77,96.75,"96.63 - 99.95",100,200,506505,100,"3:28pm - <b>96.72</b>","Ralph Lauren Corporation Common"
"RLGY",25.77,25.75,"25.55 - 25.95",1800,600,976271,100,"3:27pm - <b>25.76</b>","Realogy Holdings Corp. Common S"
"RLH",8.31,8.27,"8.10 - 8.33",100,300,9934,100,"3:20pm - <b>8.33</b>","Red Lions Hotels Corporation Co"
"RLI",67.9500,67.8500,"67.6500 - 68.4200",400,100,48421,100,"3:27pm - <b>67.9465</b>","RLI Corp. Common Stock"
"RLJ",21.570,21.560,"21.550 - 22.050",900,400,733559,100,"3:27pm - <b>21.555</b>","RLJ Lodging Trust Common Shares"
"RM",21.87,21.83,"21.59 - 22.13",300,200,36585,100,"3:25pm - <b>21.81</b>","Regional Management Corp. Commo"
"RMAX",43.63,43.51,"43.47 - 44.12",100,200,24540,100,"3:27pm - <b>43.63</b>","RE/MAX Holdings, Inc. Class A C"
"RMD",63.68,63.66,"63.31 - 63.90",500,300,588741,100,"3:27pm - <b>63.70</b>","ResMed Inc. Common Stock"
"RMP",21.29,21.26,"20.79 - 21.44",200,300,120512,100,"3:27pm - <b>21.42</b>","Rice Midstream Partners LP Comm"
"RMT",7.71,7.70,"7.68 - 7.75",1100,200,84712,100,"3:27pm - <b>7.70</b>","Royce Micro-Cap Trust, Inc. Com"
"RNG",23.56,23.53,"23.28 - 23.71",200,500,122369,100,"3:27pm - <b>23.56</b>","Ringcentral, Inc. Class A Commo"
"RNP",20.33,20.31,"20.13 - 20.37",200,300,163281,100,"3:24pm - <b>20.32</b>","Cohen & Steers Reit and Preferr"
"RNR",119.94,119.86,"119.58 - 120.23",200,100,86392,100,"3:26pm - <b>120.05</b>","RenaissanceRe Holdings Ltd. Com"
"RNR-C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"RNR-E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ROG",60.55,60.43,"60.21 - 60.97",100,200,61037,100,"3:27pm - <b>60.64</b>","Rogers Corporation Common Stock"
"ROK",114.800,114.780,"114.770 - 116.070",200,100,310938,100,"3:28pm - <b>114.865</b>","Rockwell Automation, Inc. Commo"
"ROL",28.77,28.75,"28.75 - 29.00",500,200,142248,100,"3:27pm - <b>28.76</b>","Rollins, Inc. Common Stock"
"ROP",178.56,178.53,"178.04 - 179.61",200,100,157816,100,"3:27pm - <b>178.67</b>","Roper Technologies, Inc. Common"
"ROYT",1.84,1.83,"1.81 - 1.89",100,300,105220,100,"3:13pm - <b>1.86</b>","Pacific Coast Oil Trust Units o"
"RPAI",17.17,17.16,"17.14 - 17.31",6600,5500,1313922,100,"3:27pm - <b>17.16</b>","Retail Properties of America, I"
"RPAI-A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
